chrAll chrX chrY Label
Chondrocyte_day21_Maass.run24 0.057824339788816 0.0578656447721605 0.0194472701588915 female
Chondrocyte_day21_Maass.run25 0.0566443762428874 0.0560117333343929 0.0169350476515495 female
Chondrocyte_day21_Maass.run26 0.0569797513814751 0.0562955499582337 0.0170935905457201 female
Chondrocyte_day21_Maass.run27 0.0570242444652651 0.0563418967828914 0.017093503175008 female
Chondrocyte_day21_Maass.run28 0.0575724443276611 0.0568208930101305 0.0170599178732781 female
Chondrocyte_day21_Maass.run29 0.0454324940064575 0.0452525538257135 0.0136378342443041 female
Chondrocyte_day21_Maass.run3 0.043384929868595 0.0411303075389307 0.0120668913666641 female
Chondrocyte_day21_Maass.run30 0.0455636055554189 0.0453294887856161 0.0136776228665929 female
Chondrocyte_day21_Maass.run31 0.0456496209260426 0.0454701698551524 0.0136770462198931 female
Chondrocyte_day21_Maass.run32 0.0446532424630953 0.0444110052047574 0.0132462561868293 female
Chondrocyte_day21_Maass.run33 0.0523266034084678 0.0514304855787965 0.0153948068421403 female
Chondrocyte_day21_Maass.run34 0.052505319496743 0.0515744734737647 0.0154370243702253 female
Chondrocyte_day21_Maass.run35 0.0525671597340363 0.0516982166758272 0.0154223810388779 female
Chondrocyte_day21_Maass.run36 0.0518095915682418 0.0509165369757717 0.0150127347181417 female
Chondrocyte_day21_Maass.run4 0.0417444193053316 0.0395609176684099 0.0115153200611979 female
Chondrocyte_day21_Maass.run5 0.0458301091174788 0.0461538047445831 0.015490600090883 female
Chondrocyte_day21_Maass.run6 0.0460688507452632 0.0463925818933556 0.0156125696049699 female
Chondrocyte_day21_Maass.run7 0.0459460799025949 0.0462381608359783 0.0155441932856831 female
Chondrocyte_day21_Maass.run8 0.0466537983273059 0.0468975136293598 0.0156647648683765 female
Chondrocyte_day21_Maass.run9 0.0482440808839319 0.0456652981899393 0.014023296351932 female
Lung_PatientF_Schmitt.run1 0.0105594103622315 0.0107677926353857 0.00175127602740749 female
Lung_PatientF_Schmitt.run2 0.0564946058260689 0.0584337650716499 0.0115574152702861 female
Lung_PatientF_Schmitt.run3 0.100395697633927 0.103730877729201 0.0204630071094422 female
Mesenchymal_stem_cell_day00_Maass.run1 0.0000862853140958913 0.0000820618210373633 0.0000268228086136688 female
Mesenchymal_stem_cell_day00_Maass.run10 0.0408651565654738 0.0420339296310753 0.0115306448840997 female
Mesenchymal_stem_cell_day00_Maass.run11 0.0409058174559767 0.0420381592915113 0.0115362540838163 female
Mesenchymal_stem_cell_day00_Maass.run12 0.0388961296386307 0.0398700481691033 0.010813610924065 female
Mesenchymal_stem_cell_day00_Maass.run13 0.0356656997638403 0.0367532818880589 0.0111034719985168 female
Mesenchymal_stem_cell_day00_Maass.run14 0.0357264455859757 0.0367746865332963 0.0111856703644573 female
Mesenchymal_stem_cell_day00_Maass.run15 0.0357719693521091 0.0368776851734925 0.0111350302997261 female
Mesenchymal_stem_cell_day00_Maass.run16 0.0344916026704363 0.0355230595159045 0.0106858924171221 female
Mesenchymal_stem_cell_day00_Maass.run17 0.0424771425461995 0.0439053813425 0.0131523501454679 female
Mesenchymal_stem_cell_day00_Maass.run18 0.0424988109812449 0.0439164681797038 0.0131851141625041 female
Mesenchymal_stem_cell_day00_Maass.run19 0.042596834853053 0.0439761320261589 0.0131736685992195 female
Mesenchymal_stem_cell_day00_Maass.run2 0.0000861679353490913 0.0000786652755356213 0.0000289546539888269 female
Mesenchymal_stem_cell_day00_Maass.run20 0.0418897985030918 0.0432728228071237 0.0129230195003566 female
Mesenchymal_stem_cell_day00_Maass.run21 0.0435725025152136 0.0453252719423328 0.0133673170455105 female
Mesenchymal_stem_cell_day00_Maass.run22 0.0435979399459434 0.0452988493817598 0.0133903304910767 female
Mesenchymal_stem_cell_day00_Maass.run23 0.0437110996335535 0.0454349355020041 0.0134091151941775 female
Mesenchymal_stem_cell_day00_Maass.run24 0.0412948153766685 0.0429091232782278 0.0125097909804243 female
Mesenchymal_stem_cell_day00_Maass.run3 0.0000859218944407513 0.0000835742450721013 0.0000276615674497966 female
Mesenchymal_stem_cell_day00_Maass.run4 0.000081086513464374 0.0000765055852826273 0.0000260015239199604 female
Mesenchymal_stem_cell_day00_Maass.run5 0.0447957560687614 0.0455230982877918 0.0133158032736583 female
Mesenchymal_stem_cell_day00_Maass.run6 0.0448296847909576 0.045551071723858 0.0133238064308863 female
